5	12	11	16	7
				
8	42	16	8	18
				
14	22	9	10	17
				
6	15	8	16	13
				
11	23	8	10	28
				
3	20	12	14	33
				
12	15	10	10	17
				
5	9	23	14	12
				
11	15	10	11	12
				
5	20	8	8	5
				
12	20	14	9	11
				
11	15	16	17	23
				
11	10	9	9	6
				
5	20	9	13	29
				
4	22	9	8	11
				
14	18	9	16	9
				
6	18	12	12	20
				
10	9	9	10	11
				
11	20	8	11	7
				
6	27	15	8	18
				
17	8	16	16	9
				
21	26	10	9	25
				
10	19	9	9	3
				
11	10	15	8	27
				
12	20	12	15	5
				
15	10	9	8	8
				
6	20	15	16	3
				
11	23	27	15	3
				
18	19	21	14	3
				
5	22	16	11	3
				
6	18	11	8	8
				
9	21	15	16	19
				
4	14	9	10	10
				
6	11	10	10	19
				
6	16	15	11	29
				
11	18	16	18	8
				
10	18	8	15	10
				
10	21	25	9	6
				
14	20	10	15	11
				
10	11	10	12	26
				
14	16	14	13	3
				
12	15	10	15	16
				
5	10	14	17	35
				
6	26	10	14	3
				
11	18	15	9	6
				
13	17	17	15	4
				
11	21	15	17	6
				
6	20	9	11	23
				
6	25	39	17	8
				
9	21	15	10	12
				
11	20	9	12	19
				
12	10	9	11	24
				
4	20	9	15	3
				
12	17	15	11	6
				
7	27	19	14	12
				
6	20	11	9	28
				
11	19	8	10	23
				
17	22	9	10	14
				
5	13	20	8	11
				
5	21	15	9	11
				
6	9	9	16	10
				
5	21	15	9	19
				
13	14	15	18	21
				
11	22	8	16	11
				
12	15	14	8	11
				
5	34	15	11	11
				
12	19	16	9	10
				
9	17	13	11	6
				
5	10	8	16	12
				
11	20	9	12	20
				
5	9	18	12	12
				
12	10	17	10	7
				
12	9	17	8	11
				
12	22	16	18	12
				
7	13	42	9	27
				
6	22	9	17	7
				
14	10	10	11	11
				
10	12	10	9	10
				
7	10	16	7	12
				
11	20	12	17	11
				
6	22	15	17	10
				
14	21	11	11	12
				
5	46	10	11	13
				
11	20	23	9	17
