5	12	11
8	42	16
14	22	9
6	15	8
11	23	8
3	20	12
12	15	10
5	9	23
11	15	10
5	20	8
12	20	14
11	15	16
11	10	9
5	20	9
4	22	9
14	18	9
6	18	12
10	9	9
11	20	8
6	27	15
17	8	16
21	26	10
10	19	9
11	10	15
12	20	12
15	10	9
6	20	15
11	23	27
18	19	21
5	22	16
6	18	11
9	21	15
4	14	9
6	11	10
6	16	15
11	18	16
10	18	8
10	21	25
14	20	10
10	11	10
14	16	14
12	15	10
5	10	14
6	26	10
11	18	15
13	17	17
11	21	15
6	20	9
6	25	39
9	21	15
11	20	9
12	10	9
4	20	9
12	17	15
7	27	19
6	20	11
11	19	8
17	22	9
5	13	20
5	21	15
6	9	9
5	21	15
13	14	15
11	22	8
12	15	14
5	34	15
12	19	16
9	17	13
5	10	8
11	20	9
5	9	18
12	10	17
12	9	17
12	22	16
7	13	42
6	22	9
14	10	10
10	12	10
7	10	16
11	20	12
6	22	15
14	21	11
5	46	10
11	20	23
9	16	15
12	12	9
6	9	9
11	14	28
12	20	15
21	19	19
11	19	15
6	24	14
5	34	16
5	23	8
5	22	15
6	25	15
10	17	8
10	17	16
10	25	8
4	23	14
