1056	1583	4672
944		1010	5287
998		951		6352
800		4922	5581
1621	916		5254
831		2202	5442
847		2009	6161
903		1054	6279
846		932		6548
815		3928	5448
763		1901	7528
796		909		5082
1168	2239	6200
925		1383	5331
934		2519	5326
1774	1971	5287
869		2574	5189
1214	870		5084
815		896		6392
1039	1845	6115
827		1753	5083
869		917		5205
1022	1358	5005
1079	1867	5178
933		906		5396
770		1348	6202
952		3142	5270
1668	1474	6556
824		6749	5502
1062	1790	5691
867		1325	5180
823		1862	4866
1790	1710	4907
1189	3596	5016
1343	1139	6172
952		1720	6609
773		1670	5113
851		1662	5023
791		1151	13968
995		1361	5059
945		3207	5449
832		891		4872
2315	928		5389
812		1775	5206
747		1563	5438
1132	853		5319
1028	1270	4930
1122	1682	4929
893		1980	5226
